SA_PUB2022,need_percentile,no_car_rate,employment_quadrant,ED_ENGLISH,COUNTY_ENGLISH,walk_node_id,nearest_hospital_min,nearest_school_min,nearest_university_min,hospital_access_percentile,hospital_severity,hospital_quadrant,school_access_percentile,school_severity,school_quadrant,university_access_percentile,university_severity,university_quadrant,is_employment_desert,is_hospital_desert,is_school_desert,is_university_desert,n_desert_categories
267065001/02,0.2870483150629314,0.0769230769230769,Low-priority gap,DONABATE,FINGAL,8196576625,34.410546666666654,19.483853333333343,27.809533333333327,0.10617133576938698,0.1808769792935444,Low-priority gap,0.03674380836378399,0.2503045066991474,Low-priority gap,0.19569630531871696,0.09135200974421442,Low-priority gap,False,False,False,False,0
268122003,0.8678440925700366,0.3816793893129771,Transit Desert,PRIORSWOOD B,DUBLIN CITY,6211508503,28.20547750000001,4.717226666666666,12.527839999999998,0.20686155095412095,0.6609825416159156,Transit Desert,0.8256191636215997,0.04222492894843688,"Well-served, high-need",0.7040194884287454,0.16382460414129119,"Well-served, high-need",True,True,False,False,2
268098009,0.909053999187982,0.4444444444444444,"Well-served, high-need",MERCHANTS QUAY A,DUBLIN CITY,11349390666,14.647826666666663,3.2184266666666668,3.5771200000000007,0.7316280958181081,0.17742590336987396,"Well-served, high-need",0.9230613073487617,-0.014007308160779663,"Well-served, high-need",0.9673162809581811,-0.0582622817701991,"Well-served, high-need",False,False,False,False,0
267037003,0.0817092976045473,0.0256410256410256,Low-priority gap,CABINTEELY-KILBOGGET,DUN LAOGHAIRE/RATHDOWN,480144532,20.88485333333333,8.503026666666669,23.331693333333327,0.4518879415347138,-0.3701786439301665,Low-priority gap,0.49411287048315067,-0.41240357287860335,Low-priority gap,0.32277710109622415,-0.24106780349167684,Low-priority gap,False,False,False,False,0
268032004,0.7312220868859115,0.2777777777777778,"Well-served, high-need",CABRA EAST C,DUBLIN CITY,8995772903,10.147173333333331,7.68392,14.87779420289855,0.8958587088915956,-0.16463662200568407,"Well-served, high-need",0.5690215184734064,0.16220056841250508,"Well-served, high-need",0.6073893625659765,0.12383272431993497,"Well-served, high-need",False,False,False,False,0
267120008,0.4171741778319123,0.1204819277108433,Low-priority gap,SHANKILL-RATHMICHAEL,DUN LAOGHAIRE/RATHDOWN,322710303,27.649488484848487,14.788159999999998,21.641293846153847,0.22025984571660573,0.19691433211530657,Low-priority gap,0.11652456354039786,0.30064961429151443,Low-priority gap,0.36682907023954525,0.050345107592367044,Low-priority gap,False,False,False,False,0
268083012,0.7046285018270402,0.2644628099173554,"Well-served, high-need",KILMAINHAM A,DUBLIN CITY,903978422,17.20104,7.381439999999999,11.869306666666668,0.6220056841250508,0.08262281770198943,"Well-served, high-need",0.5996751928542428,0.10495330897279742,"Well-served, high-need",0.7293950466910273,-0.024766544863987106,"Well-served, high-need",False,False,False,False,0
268144014,0.7984165651644336,0.32,Transit Desert,TERENURE A,DUBLIN CITY,2987667048,20.341119999999997,9.92214666666667,12.087786666666666,0.47888753552578156,0.31952902963865204,Transit Desert,0.37799431587494925,0.42042224928948435,Transit Desert,0.7224928948436866,0.07592367032074698,"Well-served, high-need",True,True,True,False,3
268042008,0.3332318311002842,0.091743119266055,Low-priority gap,CLONTARF EAST B,DUBLIN CITY,1426961256,16.95663111111111,9.345173333333332,22.913757948717947,0.631749898497767,-0.29851806739748277,"Well-served, low-need",0.4208282582216809,-0.0875964271213967,Low-priority gap,0.3335363377994316,-0.0003045066991473888,Low-priority gap,False,False,False,False,0
268058006,0.6574299634591961,0.233009708737864,"Well-served, high-need",DRUMCONDRA SOUTH A,DUBLIN CITY,1672796954,14.034253333333332,5.6744,15.04616787878788,0.7537555826228177,-0.09632561916362159,"Well-served, high-need",0.7482744620381648,-0.0908444985789687,"Well-served, high-need",0.5992691839220463,0.05816077953714982,"Well-served, high-need",False,False,False,False,0
267153006,0.2258424685343077,0.0619469026548672,Low-priority gap,TEMPLEOGUE-OSPREY,SOUTH DUBLIN,8618099143,27.66966888888889,8.626386666666667,13.037880000000005,0.2200568412505075,0.005785627283800193,Low-priority gap,0.4815265935850589,-0.2556841250507512,Low-priority gap,0.6818920016240357,-0.45604953308972807,"Well-served, low-need",False,False,False,False,0
267092054,0.4711733658140479,0.1428571428571428,"Well-served, low-need",GLENCULLEN,DUN LAOGHAIRE/RATHDOWN,13449565763,25.878413333333334,1.2149333333333334,14.654346666666664,0.2632967925294356,0.2078765732846123,Low-priority gap,0.9792935444579781,-0.5081201786439302,"Well-served, low-need",0.6149005278116119,-0.14372716199756397,"Well-served, low-need",False,False,False,False,0
267143001/03,0.0476045473000406,0.015625,"Well-served, low-need",TALLAGHT-KILTIPPER,SOUTH DUBLIN,9622565893,26.140286153846155,13.874999999999998,19.518726153846156,0.2549736094194073,-0.20736906211936668,Low-priority gap,0.15002030044660986,-0.10241575314656925,Low-priority gap,0.4368656110434429,-0.3892610637434023,Low-priority gap,False,False,False,False,0
268138009/01,0.7938489646772229,0.3177570093457944,"Well-served, high-need",ROTUNDA A,DUBLIN CITY,3119531508,5.432226666666667,3.349559999999999,4.582893333333333,0.9746244417377182,-0.18077547706049535,"Well-served, high-need",0.9175801867641088,-0.12373122208688592,"Well-served, high-need",0.9464068209500609,-0.15255785627283802,"Well-served, high-need",False,False,False,False,0
267140055/02,0.6524563540397889,0.2307692307692307,Transit Desert,TALLAGHT-JOBSTOWN,SOUTH DUBLIN,4215928472,26.8938194425864,14.342146666666668,26.24978666666668,0.23507917174177828,0.4173771822980106,Transit Desert,0.1319529029638652,0.5205034510759237,Transit Desert,0.2367032074705644,0.41575314656922446,Transit Desert,True,True,True,True,4
267151013,0.4633576938692651,0.1392405063291139,"Well-served, low-need",TEMPLEOGUE-LIMEKILN,SOUTH DUBLIN,8622642949,18.47953925925925,10.907520000000003,10.705693333333336,0.5657734470158344,-0.10241575314656931,"Well-served, low-need",0.30613073487616727,0.15722695899309785,Low-priority gap,0.7718229801055623,-0.30846528623629715,"Well-served, low-need",False,False,False,False,0
267097003/267121006/267121001,0.1188591149005278,0.0357142857142857,Low-priority gap,KILLINEY SOUTH,DUN LAOGHAIRE/RATHDOWN,14023173420,31.703706666666665,17.324319999999997,34.69650000000001,0.1423061307348762,-0.023447015834348384,Low-priority gap,0.059683313032886764,0.05917580186764104,Low-priority gap,0.08505887129516854,0.03380024360535927,Low-priority gap,False,False,False,False,0
267134022,0.1811814859926918,0.0510204081632653,Low-priority gap,SWORDS-SEATOWN,FINGAL,253315239,31.62193882352941,13.013839215686271,23.055472156862745,0.1433211530653674,0.03786033292732438,Low-priority gap,0.18757612667478685,-0.006394640682095054,Low-priority gap,0.33089727974015426,-0.14971579374746247,Low-priority gap,False,False,False,False,0
267155010,0.485688185140073,0.1496598639455782,Low-priority gap,TERENURE-CHERRYFIELD,SOUTH DUBLIN,10594963927,16.150573333333334,10.26016,17.927725490196085,0.6713357693869265,-0.18564758424685351,"Well-served, low-need",0.3544457978075518,0.1312423873325212,Low-priority gap,0.4945188794153471,-0.008830694275274109,Low-priority gap,False,False,False,False,0
268015005/02,0.8485586682907024,0.3625,"Well-served, high-need",BALLYMUN A,DUBLIN CITY,4693809985,18.95185833333333,9.094186666666667,11.69223703703704,0.5442549736094194,0.30430369468128293,"Well-served, high-need",0.4407226958993098,0.4078359723913926,Transit Desert,0.7352821762078765,0.11327649208282586,"Well-served, high-need",False,False,True,False,1
267034003,0.5665854648802273,0.1860465116279069,"Well-served, high-need",BLANCHARDSTOWN-TYRRELSTOWN,FINGAL,253222207,28.243895833333333,13.577466666666664,29.80114916666667,0.2056435241575315,0.3609419407226958,Transit Desert,0.16017052375152252,0.4064149411287048,Transit Desert,0.15245635403978886,0.41412911084043846,Transit Desert,False,True,True,True,3
267017005,0.2666463662200568,0.0714285714285714,Low-priority gap,BLACKROCK-MONKSTOWN,DUN LAOGHAIRE/RATHDOWN,11994552768,18.164379047619043,1.90936,18.579386666666664,0.5797807551766139,-0.3131343889565571,"Well-served, low-need",0.9665042630937881,-0.6998578968737313,"Well-served, low-need",0.4701583434835567,-0.2035119772634999,Low-priority gap,False,False,False,False,0
268128011,0.6734673162809581,0.2461538461538461,"Well-served, high-need",RATHMINES EAST A,DUBLIN CITY,8585679161,5.992266666666666,11.72272,12.173355706214686,0.9699553390174583,-0.2964880227365002,"Well-served, high-need",0.2565976451481933,0.41686967113276485,Transit Desert,0.7196508323183111,-0.046183516037352934,"Well-served, high-need",False,False,True,False,1
268162014,0.7870483150629314,0.3125,"Well-served, high-need",WOOD QUAY B,DUBLIN CITY,3162664037,7.562613333333334,4.636213333333333,10.487070144927538,0.9508729192042225,-0.16382460414129107,"Well-served, high-need",0.8343483556638246,-0.04730004060089321,"Well-served, high-need",0.7797401542833943,0.0073081607795371095,"Well-served, high-need",False,False,False,False,0
268136016,0.7198538367844093,0.2727272727272727,"Well-served, high-need",RATHMINES WEST E,DUBLIN CITY,251007585,11.653886535947713,7.000906666666668,13.929082841530054,0.8479496548924077,-0.12809581810799842,"Well-served, high-need",0.630125862768981,0.08972797401542831,"Well-served, high-need",0.6449451887941535,0.07490864799025576,"Well-served, high-need",False,False,False,False,0
267099025,0.2239139261063743,0.0612244897959183,Low-priority gap,KINSALEY,FINGAL,6053545819,37.43505666666666,11.728666666666667,28.86858999999999,0.08140479090539987,0.14250913520097444,Low-priority gap,0.2557856272838003,-0.031871701177425965,Low-priority gap,0.1703207470564353,0.053593179049939016,Low-priority gap,False,False,False,False,0
268003007,0.9989849776695088,0.8,"Well-served, high-need",ARRAN QUAY C,DUBLIN CITY,321851714,12.82708,5.131173333333333,5.489866666666667,0.8030856678846935,0.1958993097848153,"Well-served, high-need",0.7949654892407633,0.2040194884287455,"Well-served, high-need",0.9275274056029232,0.07145757206658554,"Well-served, high-need",False,False,False,False,0
268131007,0.743605359317905,0.2857142857142857,"Well-served, high-need",RATHMINES EAST D,DUBLIN CITY,563884255,15.808120000000008,8.736146666666667,16.024333333333335,0.6851400730816077,0.05846528623629721,"Well-served, high-need",0.4713763702801461,0.27222898903775883,Transit Desert,0.5584652862362972,0.18514007308160774,"Well-served, high-need",False,False,True,False,1
267103004/05,0.4756394640682095,0.1447368421052631,Low-priority gap,LUCAN-St. HELENS,SOUTH DUBLIN,4851794359,30.29944,15.27953333333334,34.900773333333326,0.16666666666666663,0.3089727974015429,Low-priority gap,0.10211124644742187,0.37352821762078764,Low-priority gap,0.08262281770198943,0.3930166463662201,Low-priority gap,False,False,False,False,0
268110002,0.8775883069427527,0.3928571428571428,"Well-served, high-need",PEMBROKE EAST A,DUBLIN CITY,9338957688,18.183172753623182,8.435013333333334,8.975626666666669,0.5791717417783191,0.2984165651644336,"Well-served, high-need",0.500812017864393,0.3767762890783597,"Well-served, high-need",0.8333333333333334,0.044254973609419324,"Well-served, high-need",False,False,False,False,0
267132018,0.1421031262687779,0.0408163265306122,Low-priority gap,SWORDS-FORREST,FINGAL,2986585087,38.58835228070176,12.432506666666672,31.15952561403509,0.07490864799025576,0.06719447827852215,Low-priority gap,0.21822980105562317,-0.07612667478684526,Low-priority gap,0.12789281364190008,0.01421031262687783,Low-priority gap,False,False,False,False,0
267139001,0.8165854648802273,0.3333333333333333,"Well-served, high-need",TALLAGHT-GLENVIEW,SOUTH DUBLIN,652847805,18.45539259259259,9.54357333333333,10.358133333333338,0.5669914738124239,0.24959399106780344,"Well-served, high-need",0.40357287860332924,0.4130125862768981,Transit Desert,0.784409257003654,0.03217620787657327,"Well-served, high-need",False,False,True,False,1
268135013,0.929760454730004,0.4857142857142857,"Well-served, high-need",RATHMINES WEST D,DUBLIN CITY,564540033,11.285246274509802,3.76324,10.583146666666668,0.8597239139261064,0.07003654080389765,"Well-served, high-need",0.8928136419001218,0.036946812829882214,"Well-served, high-need",0.7754770604953309,0.15428339423467308,"Well-served, high-need",False,False,False,False,0
268134002,0.5705440519691434,0.188235294117647,Transit Desert,RATHMINES WEST C,DUBLIN CITY,258599298,22.063826666666667,14.51693238095238,19.57413238095238,0.403369874137231,0.16717417783191235,Transit Desert,0.12383272431993508,0.4467113276492083,Transit Desert,0.4342265529841657,0.1363174989849777,Transit Desert,True,True,True,True,4
