stop_id,period,num_departures,headway_seconds,wait_time_seconds
8220000002,AM_PEAK,1,9000.0,4500.0
8220000003,AM_PEAK,1,9000.0,4500.0
8220000003,OFF_PEAK_1,1,7200.0,3600.0
8220000003,OFF_PEAK_2,2,3600.0,1800.0
8220000003,OFF_PEAK_3,2,3600.0,1800.0
8220000005,AM_PEAK,5,1800.0,900.0
8220000005,OFF_PEAK_2,5,3825.0,1912.5
8220000005,OFF_PEAK_3,4,1600.0,800.0
8220000005,PM_PEAK,8,1200.0,600.0
8220000150,AM_PEAK,5,1575.0,787.5
8220000150,OFF_PEAK_2,7,2500.0,1250.0
8220000150,OFF_PEAK_3,3,3150.0,1575.0
8220000150,PM_PEAK,10,800.0,400.0
8220000357,OFF_PEAK_2,4,6100.0,3050.0
8220000357,OFF_PEAK_3,2,6900.0,3450.0
8220000357,PM_PEAK,2,3900.0,1950.0
8220000372,AM_PEAK,25,337.5,168.75
8220000372,OFF_PEAK_1,4,380.0,190.0
8220000372,OFF_PEAK_2,14,1707.6923076923076,853.8461538461538
8220000372,OFF_PEAK_3,6,2580.0,1290.0
8220000372,PM_PEAK,7,1150.0,575.0
8220000386,AM_PEAK,3,3600.0,1800.0
8220000386,OFF_PEAK_1,2,2700.0,1350.0
8220000386,OFF_PEAK_2,6,3684.0,1842.0
8220000386,OFF_PEAK_3,6,3468.0,1734.0
8220000386,PM_PEAK,3,3600.0,1800.0
8220000413,AM_PEAK,1,9000.0,4500.0
8220000413,OFF_PEAK_1,1,7200.0,3600.0
8220000413,OFF_PEAK_2,6,3600.0,1800.0
8220000413,OFF_PEAK_3,4,4800.0,2400.0
8220000413,PM_PEAK,2,3600.0,1800.0
8220000414,AM_PEAK,1,9000.0,4500.0
8220000414,OFF_PEAK_1,1,7200.0,3600.0
8220000414,OFF_PEAK_2,6,4320.0,2160.0
8220000414,OFF_PEAK_3,5,4500.0,2250.0
8220000414,PM_PEAK,2,3600.0,1800.0
8220000415,AM_PEAK,1,9000.0,4500.0
8220000415,PM_PEAK,1,9000.0,4500.0
8220000416,AM_PEAK,1,9000.0,4500.0
8220000417,PM_PEAK,1,9000.0,4500.0
8220000418,AM_PEAK,1,9000.0,4500.0
8220000419,OFF_PEAK_2,1,23400.0,11700.0
8220000420,AM_PEAK,1,9000.0,4500.0
8220000421,OFF_PEAK_2,1,23400.0,11700.0
8220000441,AM_PEAK,8,1028.5714285714287,514.2857142857143
8220000441,OFF_PEAK_1,1,7200.0,3600.0
8220000441,OFF_PEAK_2,19,1200.0,600.0
8220000441,OFF_PEAK_3,3,0.0,0.0
8220000441,PM_PEAK,14,553.8461538461538,276.9230769230769
822008203,AM_PEAK,1,9000.0,4500.0
822008203,OFF_PEAK_2,13,1800.0,900.0
822008203,PM_PEAK,5,1800.0,900.0
822008204,AM_PEAK,1,9000.0,4500.0
822008204,OFF_PEAK_2,13,1800.0,900.0
822008204,PM_PEAK,5,1800.0,900.0
822008205,AM_PEAK,1,9000.0,4500.0
822008205,OFF_PEAK_2,13,1800.0,900.0
822008205,PM_PEAK,5,1800.0,900.0
822008206,AM_PEAK,1,9000.0,4500.0
822008206,OFF_PEAK_2,13,1801.5833333333333,900.7916666666666
822008206,PM_PEAK,5,1802.5,901.25
822008208,AM_PEAK,1,9000.0,4500.0
822008208,OFF_PEAK_2,13,1801.9166666666667,900.9583333333334
822008208,PM_PEAK,5,1803.75,901.875
822008209,AM_PEAK,1,9000.0,4500.0
822008209,OFF_PEAK_2,13,1801.25,900.625
822008209,PM_PEAK,5,1803.75,901.875
822008210,AM_PEAK,1,9000.0,4500.0
822008210,OFF_PEAK_2,13,1801.25,900.625
822008210,PM_PEAK,5,1799.25,899.625
82202B008257,AM_PEAK,8,1202.857142857143,601.4285714285714
82202B008257,OFF_PEAK_1,5,1301.75,650.875
82202B008257,OFF_PEAK_2,19,1207.2222222222222,603.6111111111111
82202B008257,OFF_PEAK_3,15,1235.5714285714287,617.7857142857143
82202B008257,PM_PEAK,8,1182.857142857143,591.4285714285714
8220B007612,AM_PEAK,2,6300.0,3150.0
8220B007612,OFF_PEAK_1,1,7200.0,3600.0
8220B007612,OFF_PEAK_2,12,1936.3636363636363,968.1818181818181
8220B007612,OFF_PEAK_3,7,2750.0,1375.0
8220B007612,PM_PEAK,8,857.1428571428571,428.57142857142856
8220B008367,AM_PEAK,2,3600.0,1800.0
8220B008367,OFF_PEAK_1,1,7200.0,3600.0
8220B008367,OFF_PEAK_2,7,3600.0,1800.0
8220B008367,OFF_PEAK_3,5,3600.0,1800.0
8220B008367,PM_PEAK,2,3600.0,1800.0
8220B1000401,AM_PEAK,3,1800.0,900.0
8220B1000401,OFF_PEAK_1,3,1800.0,900.0
8220B1000401,OFF_PEAK_2,14,1716.923076923077,858.4615384615385
8220B1000401,OFF_PEAK_3,9,2265.0,1132.5
8220B1000401,PM_PEAK,4,1380.0,690.0
8220B100111,AM_PEAK,2,1200.0,600.0
8220B100111,OFF_PEAK_1,3,1800.0,900.0
8220B100111,OFF_PEAK_2,9,2362.5,1181.25
8220B100111,OFF_PEAK_3,5,3600.0,1800.0
8220B100111,PM_PEAK,8,1157.142857142857,578.5714285714286
8220B100461,AM_PEAK,2,4560.0,2280.0
8220B100461,OFF_PEAK_1,1,7200.0,3600.0
8220B100461,OFF_PEAK_2,6,3552.0,1776.0
8220B100461,OFF_PEAK_3,3,6060.0,3030.0
8220B100461,PM_PEAK,2,3600.0,1800.0
8220B1009001,AM_PEAK,9,870.0,435.0
8220B1009001,OFF_PEAK_1,7,1030.0,515.0
8220B1009001,OFF_PEAK_2,27,891.9230769230769,445.96153846153845
8220B1009001,OFF_PEAK_3,18,1065.8823529411766,532.9411764705883
8220B1009001,PM_PEAK,11,750.0,375.0
8220B1011301,AM_PEAK,14,593.0769230769231,296.53846153846155
8220B1011301,OFF_PEAK_1,1,7200.0,3600.0
8220B1011301,OFF_PEAK_2,30,764.4827586206897,382.2413793103448
8220B1011301,OFF_PEAK_3,22,857.1428571428571,428.57142857142856
8220B1011301,PM_PEAK,11,789.0,394.5
8220B1011501,AM_PEAK,11,771.0,385.5
8220B1011501,OFF_PEAK_1,1,7200.0,3600.0
8220B1011501,OFF_PEAK_2,27,852.6923076923077,426.34615384615387
8220B1011501,OFF_PEAK_3,21,897.0,448.5
8220B1011501,PM_PEAK,9,986.25,493.125
8220B1021101,AM_PEAK,27,327.6923076923077,163.84615384615384
8220B1021101,OFF_PEAK_1,2,5100.0,2550.0
8220B1021101,OFF_PEAK_2,47,489.1304347826087,244.56521739130434
8220B1021101,OFF_PEAK_3,32,559.3548387096774,279.6774193548387
8220B1021101,PM_PEAK,18,476.47058823529414,238.23529411764707
8220B1046101,AM_PEAK,12,409.09090909090907,204.54545454545453
8220B106421,AM_PEAK,5,1275.0,637.5
8220B106421,OFF_PEAK_1,5,900.0,450.0
8220B106421,OFF_PEAK_2,15,1628.5714285714287,814.2857142857143
8220B106421,OFF_PEAK_3,11,1944.0,972.0
8220B106421,PM_PEAK,13,720.0,360.0
8220B10995,AM_PEAK,5,1800.0,900.0
8220B10995,OFF_PEAK_1,1,7200.0,3600.0
8220B10995,OFF_PEAK_2,10,1966.6666666666667,983.3333333333334
8220B10995,OFF_PEAK_3,7,2950.0,1475.0
