service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,0,0,0,0,1,0,0,20260807,20260904
2,1,1,1,1,0,0,0,20260803,20260907
3,1,1,1,1,1,0,0,20260803,20270804
4,0,0,0,0,0,1,0,20260808,20270731
5,0,0,0,0,1,0,0,20260807,20270730
7,0,0,0,0,1,0,0,20260904,20270730
8,0,0,0,0,0,0,1,20260906,20270801
10,1,1,1,1,1,0,0,20260901,20270804
11,0,0,0,0,0,1,1,20260808,20270801
13,1,1,1,1,0,0,0,20260901,20270804
14,1,1,1,1,1,0,0,20260804,20261210
15,0,0,0,0,1,0,0,20260807,20261204
16,0,0,0,0,0,1,0,20260808,20261205
17,1,1,1,1,1,0,1,20260803,20261210
18,0,0,0,0,0,0,1,20260809,20270801
23,1,1,1,1,1,0,0,20260804,20270804
35,0,1,0,0,0,0,0,20260804,20270803
36,0,0,0,1,0,0,0,20260806,20270729
37,1,1,1,1,1,1,0,20260803,20270804
40,1,1,1,1,1,1,1,20260803,20270804
41,0,0,0,0,1,0,0,20260807,20270730
42,1,0,0,0,0,0,0,20260803,20270802
43,0,0,0,0,0,1,0,20260808,20270731
44,0,0,0,0,0,0,1,20260803,20270802
46,0,0,0,0,0,0,0,20260803,20270802
48,0,0,1,1,1,0,0,20260805,20270804
49,1,1,0,1,0,0,0,20260803,20270803
50,1,1,1,1,1,0,0,20260803,20270201
51,1,1,1,1,1,1,1,20260803,20270131
52,1,1,1,1,1,0,0,20260803,20260930
53,1,1,1,1,1,1,1,20260817,20270804
54,1,1,1,1,1,1,1,20260817,20260930
55,1,1,1,1,1,0,0,20260803,20261016
56,0,0,0,0,0,1,0,20260808,20261010
57,0,0,0,0,0,0,1,20260809,20261011
58,1,1,1,1,0,0,0,20260803,20261015
59,0,0,0,0,1,0,0,20260807,20261016
60,1,1,1,1,1,0,0,20260804,20270804
64,0,0,0,0,0,0,0,20260803,20270802
65,1,1,1,1,1,1,1,20260803,20260816
66,1,1,1,1,1,1,1,20260803,20270709
69,0,0,0,0,0,0,1,20260809,20270704
85,1,0,0,0,0,0,0,20260810,20270726
86,0,0,0,0,0,0,1,20260803,20270802
87,0,0,1,0,0,0,0,20260805,20270804
88,0,0,0,0,0,0,1,20260803,20270802
97,1,0,0,0,0,0,0,20260810,20261109
98,0,1,0,0,0,0,0,20260804,20261110
99,0,0,1,0,0,0,0,20260805,20261111
100,0,0,0,1,0,0,0,20260806,20261112
101,0,0,0,0,1,0,0,20260807,20261113
102,0,0,0,0,0,1,0,20260808,20261114
103,0,0,0,0,0,0,0,20260803,20261026
104,0,0,0,0,0,0,1,20260809,20261108
105,1,0,0,0,0,0,0,20260803,20260803
106,0,1,0,0,0,0,0,20260804,20260804
110,0,0,0,0,1,0,0,20260807,20261030
112,0,0,0,0,0,1,0,20260808,20261031
117,0,0,0,0,0,1,0,20260808,20260808
119,0,0,0,0,0,0,1,20260809,20260809
142,0,0,0,0,0,0,0,20270101,20270101
152,0,1,0,0,0,0,0,20260804,20270119
153,1,0,0,0,0,0,0,20260810,20270125
154,0,0,1,0,0,0,0,20260805,20270120
155,0,0,0,1,0,0,0,20260806,20270121
156,0,0,0,0,0,1,0,20260808,20270123
157,0,0,0,0,1,0,0,20260807,20270122
158,0,0,0,0,0,0,1,20260803,20270124
170,1,1,1,1,1,0,0,20260804,20270526
171,0,0,0,0,0,1,0,20260808,20270522
172,0,0,0,0,0,0,1,20260809,20270523
173,0,0,0,0,0,0,0,20260803,20270503
177,1,1,1,1,1,0,0,20260803,20270526
178,0,0,0,0,0,1,0,20260808,20260926
179,0,0,0,0,0,0,1,20260809,20260927
180,1,1,1,1,1,0,0,20261001,20270526
181,0,0,0,0,0,1,0,20261003,20270522
182,0,0,0,0,0,0,1,20261004,20270523
184,1,1,1,1,1,0,0,20261102,20270804
185,0,0,0,0,0,0,0,20260804,20270804
186,1,1,1,1,1,1,1,20261101,20270804
187,0,0,0,0,0,0,0,20261225,20270802
188,1,0,0,0,1,1,1,20260803,20270802
189,1,0,0,1,1,1,1,20260803,20270802
191,0,0,0,0,0,1,0,20260808,20261212
192,0,0,0,0,0,0,1,20260809,20261206
195,0,0,0,0,1,0,0,20260807,20261211
201,1,0,0,0,0,0,0,20260810,20260810
