route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
026 783 a,1178,783,Dublin Airport - Terenure,,3,,,
03C 120 e a,03C,120,Dublin - Edenderry,,3,,,
03C 120A e a,03C,120A,Dublin - Edenderry,,3,,,
03C 120B e a,03C,120B,Dublin - Newbridge,,3,,,
03C 120E e a,03C,120E,Dublin - Edenderry,,3,,,
03C 120F e a,03C,120F,Connolly Station - Newbridge Centre,,3,,,
03C 120X e a,03C,120X,Dublin - Edenderry,,3,,,
03C 125 e a,03C,125,UCD - Newbridge,,3,,,
03C 126 e a,03C,126,Dublin - Rathangan,,3,,,
03C 126A e a,03C,126A,Dublin - Kildare,,3,,,
03C 126B e a,03C,126B,Dublin - Rathangan,,3,,,
03C 126D e a,03C,126D,Dublin - Kildare,,3,,,
03C 126E e a,03C,126E,Dublin - Kildare,,3,,,
03C 126N e a,03C,126N,Dublin - Newbridge,,3,,,
03C 126T e a,03C,126T,Dublin - Kildare,,3,,,
03C 126U e a,03C,126U,Dublin UCD - Kildare,,3,,,
03C 126X e a,03C,126X,Dublin - Rathangan,,3,,,
03C 130 e a,03C,130,Dublin - Athy,,3,,,
03C 130A e a,03C,130A,Dublin - Athy,,3,,,
060 179 a,060,179,Coothill - Dublin City,,3,,,
1 1 e a,1,1,Sandymount - O'Connell Street - Santry,,3,,,
1 11 c a,1,11,Phoenix Park - Sandyford Business District,,3,,,
1 116 c a,1,116,Whitechurch - Parnell Square,,3,,,
1 118 c a,1,118,Kilternan - Eden Quay,,3,,,
1 11B a,1,11B,Phoenix Park - Donnybrook,,3,,,
1 120 c a,1,120,Ashtown Station - Parnell St,,3,,,
1 122 c a,1,122,Drimnagh - Ashington,,3,,,
1 13 c a,1,13,Grange Castle - Harristown,,3,,,
1 130 c a,1,130,Talbot Street - Castle Avenue,,3,,,
1 14 c a,1,14,Dundrum Luas Stn - Ardlea Rd (Beaumont),,3,,,
1 142 e a,1,142,Portmarnock - UCD (Belfield),,3,,,
1 15 c a,1,15,Ballycullen Road - Clongriffin,,3,,,
1 150 c a,1,150,Rossmore - Hawkins Street,,3,,,
1 151 c a,1,151,Foxborough (Balgaddy Rd) - Docklands (East Rd),,3,,,
1 15A c a,1,15A,Merrion Square - Limekiln Avenue,,3,,,
1 15B c a,1,15B,Merrion Square - Stocking Avenue,,3,,,
1 15D c a,1,15D,Merrion Square - Whitechurch,,3,,,
1 16 c a,1,16,Ballinteer - Dublin Airport,,3,,,
1 16D c a,1,16D,Airport - Beaumont Village - Ballinteer not,,3,,,
1 19 a,1,19,Parnell Square West - Dublin Airport,,3,,,
1 23 a,1,23,Merrion Square - Charlestown SC,,3,,,
1 24 a,1,24,Merrion Square - Dublin Airport,,3,,,
1 27 c a,1,27,Jobstown - Clare Hall,,3,,,
1 27A c a,1,27A,Blunden Drive - Eden Quay,,3,,,
1 27B c a,1,27B,Eden Quay - Harristown,,3,,,
1 27X c a,1,27X,Clare Hall - UCD Belfield,,3,,,
1 32X c a,1,32X,UCD Belfield - Malahide,,3,,,
1 33 c a,1,33,Balbriggan - Lower Abbey St,,3,,,
1 33D c a,1,33D,Portrane - St Stephens Green,,3,,,
1 33E c a,1,33E,Lwr Abbey St - Portrane - Skerries,,3,,,
1 33X c a,1,33X,Skerries - Custom House Quay / St Stephen Green,,3,,,
1 37 c a,1,37,Blanchardstown Shopping Centre - Wilton Terrace,,3,,,
1 38 c a,1,38,Damastown - Burlington Road,,3,,,
1 38A c a,1,38A,Damastown via Navan Rd - Burlington Rd,,3,,,
1 38B c a,1,38B,Damastown via Ballycoolin Ind Est - Burlington Rd,,3,,,
1 38D c a,1,38D,IBM Damastown via N3 - Burlington Rd,,3,,,
1 39 c a,1,39,Ongar - Burlington Rd,,3,,,
1 39A c a,1,39A,Ongar - UCD Belfield,,3,,,
1 39X c a,1,39X,Ongar - Burlington Road,,3,,,
1 4 c a,1,4,Monkstown Avenue - Heuston Station,,3,,,
1 40D c a,1,40D,Tyrrelstown - Parnell Street,,3,,,
1 40E c a,1,40E,Broombridge Luas - Tyrrelstown,,3,,,
1 41 c a,1,41,Swords Manor - Lower Abbey Street,,3,,,
1 41B c a,1,41B,Rolestown - Lower Abbey Street,,3,,,
1 41C c a,1,41C,Swords Manor Via River Valley - Lower Abbey St,,3,,,
1 41D c a,1,41D,Swords Business Park - Lwr Abbey St,,3,,,
1 41X c a,1,41X,Swords - UCD Belfield,,3,,,
1 42 c a,1,42,Sand's Hotel Portmarnock - Eden Quay,,3,,,
1 43 c a,1,43,Talbot Street - Swords Business Park,,3,,,
1 44 c a,1,44,Enniskerry - DCU,,3,,,
1 44B c a,1,44B,Glencullen - Dundrum Luas,,3,,,
1 44D a,1,44D,Dundrum - OCS,,3,,,
1 47 c a,1,47,Poolbeg Street - Belarmine,,3,,,
1 51D c a,1,51D,Aston Quay - Clondalkin,,3,,,
1 52 b,1,52,Intel - Ringsend,,3,,,
1 53 c a,1,53,Dublin Ferryport - Talbot St,,3,,,
1 56A c a,1,56A,Tallaght - Ringsend Rd,,3,,,
1 6 c a,1,6,Howth Dart Stn - Lower Abbey Street,,3,,,
1 60,1,60,Forbes Street - Tallaght,,3,,,
1 65 e,1,65,Poolbeg Street - Blessington/Ballymore,,3,,,
1 65A a,1,65A,Route 65A Tallaght Sq - Blessington,,3,,,
1 65B c a,1,65B,Poolbeg Street - Citywest,,3,,,
1 68 c a,1,68,Newcastle / Greenogue Business Pk - Hawkins St,,3,,,
1 68A c a,1,68A,Hawkins Street - Bulfin Road,,3,,,
1 69 c a,1,69,Rathcoole - Hawkins St,,3,,,
1 69X c a,1,69X,Rathcoole - Hawkins St,,3,,,
1 7 c a,1,7,Brides Glen Luas - Mountjoy Square,,3,,,
1 70 c a,1,70,Dunboyne - Burlington Rd,,3,,,
1 74,1,74,Dundrum Luas - Eden Quay,,3,,,
1 77A c a,1,77A,Citywest - Ringsend,,3,,,
1 77X c a,1,77X,Citywest - UCD Belfield,,3,,,
1 7A c a,1,7A,Loughlinstown - Mountjoy Sq,,3,,,
1 7B c a,1,7B,Shankill - Mountjoy Square,,3,,,
1 7D c a,1,7D,Dalkey - Mountjoy Square,,3,,,
1 7E a,1,7E,Mountjoy Square - Dalkey,,3,,,
1 80 a,1,80,Liffey Valley SC - Palmerston Park,,3,,,
1 82 a,1,82,Irishtown - Kiltipper,,3,,,
1 99 a,1,99,Phoenix Park - Phoenix Park,,3,,,
1 C1 c,1,C1,Adamstown Stn - Sandymount,,3,,,
1 C2 c,1,C2,Adamstown Stn - Sandymount,,3,,,
1 C3 c,1,C3,Maynooth - Ringsend,,3,,,
1 C4 c,1,C4,Maynooth - Ringsend,,3,,,
1 C5 d,1,C5,Maynooth - Ringsend Night Service,,3,,,
1 C6 c,1,C6,Maynooth - Celbridge - Ringsend Night Service,,3,,,
1 E1 a,1,E1,Ballywaltrim - Northwood,,3,,,
1 E2 a,1,E2,Dun Laoghaire - Harristown,,3,,,
1 F1 a,1,F1,The Square Tallaght - IKEA,,3,,,
1 F2 a,1,F2,Charlestown SC - Rossmore,,3,,,
1 F3 a,1,F3,Charlestown SC - Limekiln Avenue,,3,,,
1 G1,1,G1,Red Cow LUAS - Spencer Dock,,3,,,
1 G2 a,1,G2,Liffey Valley SC - Spencer Dock,,3,,,
1 H1 c a,1,H1,Baldoyle - Lower Abbey Street,,3,,,
1 H2 c a,1,H2,Malahide - Lower Abbey Street,,3,,,
1 H3 c a,1,H3,Howth Summit - Lower Abbey Street,,3,,,
