table_name,field_name,language,translation,record_id,field_value
stops,stop_name,ga,3Arena,8220B106421,
stops,stop_name,ga,A na Carraige Báine,834000139,
stops,stop_name,ga,Abbeyville,8240DB003576,
stops,stop_name,ga,Abbeyville,8240DB003661,
stops,stop_name,ga,Abhainn an Scáil,8390B635701,
stops,stop_name,ga,Abhainn an Scáil,8390B6368701,
stops,stop_name,ga,Acdh Leachta Freáil,852000024,
stops,stop_name,ga,Achadh an Chairn,8280B160471,
stops,stop_name,ga,Achadh an Chairn,8280B160691,
stops,stop_name,ga,Achadh an Doire,8500B5301401,
stops,stop_name,ga,Achadh an Doire,8500B5301501,
stops,stop_name,ga,Achadh an Iúir,8520B1318401,
stops,stop_name,ga,Achadh an Iúir,8520B1352101,
stops,stop_name,ga,Achadh an Mheasa,8480B5710001,
stops,stop_name,ga,Achadh an Mheasa,8480B571071,
stops,stop_name,ga,Achadh an Tobair,8350DB004658,
stops,stop_name,ga,Achadh Draighneach,852000074,
stops,stop_name,ga,Achadh Mór,8260CO11294,
stops,stop_name,ga,Achadh Mór,8290LL14069,
stops,stop_name,ga,Achadh Mór,8290LL14070,
stops,stop_name,ga,Achadh Mór,8480B5561701,
stops,stop_name,ga,Achadh Mór,8480B556311,
stops,stop_name,ga,Achadh na Cloiche,8290B561031,
stops,stop_name,ga,Achadh na Cloiche,8290B561091,
stops,stop_name,ga,Achadh na Cloiche,8540B1560101,
stops,stop_name,ga,Achadh na Cloiche,8540B156591,
stops,stop_name,ga,Achadh na Gréine,8240DB004746,
stops,stop_name,ga,Achadh Tiobraide,8280LL11553,
stops,stop_name,ga,Achadh Tiobraide,8280LL11554,
stops,stop_name,ga,Achadh Úr,827000017,
stops,stop_name,ga,Achadh Úr,827000018,
stops,stop_name,ga,Acl Bhr Bhaile Dúill,8240DB000587,
stops,stop_name,ga,Acl Chnoc BÁ Cliath,8370B2423701,
stops,stop_name,ga,Acomhal 6,8240DB007374,
stops,stop_name,ga,Acomhal 6,8240DB007389,
stops,stop_name,ga,Acomhal na Cúlóige,8220DB001274,
stops,stop_name,ga,Acra na mBodach,8350DB007461,
stops,stop_name,ga,Acra na mBodach,8350DB007462,
stops,stop_name,ga,Adn an Athar Maitiú,843000035,
stops,stop_name,ga,Adn an Athar Maitiú,843000046,
stops,stop_name,ga,Adn an Mhistéalaigh,8330B5001501,
stops,stop_name,ga,Adn an Mhistéalaigh,8330B5547701,
stops,stop_name,ga,Adn Chathail Brugha,8400B6082401,
stops,stop_name,ga,Adn Cn an Mhuilinn,8250DB002819,
stops,stop_name,ga,Adn Cn an Mhuilinn,8250DB002896,
stops,stop_name,ga,Adn Ghlnn an Fheil,8380B245431,
stops,stop_name,ga,Adn Ghlnn an Fheil,8380B245621,
stops,stop_name,ga,Adn L Uí Mhaoilíosa,8460B5226501,
stops,stop_name,ga,Adn L Uí Mhaoilíosa,8460B5229901,
stops,stop_name,ga,Adn na Rátha Báine,8400B609491,
stops,stop_name,ga,Adn Pc na hEaglaise,8370B2369301,
stops,stop_name,ga,Adn Phort an Iarla,8220DB001013,
stops,stop_name,ga,Adn Phort an Iarla,8220DB006074,
stops,stop_name,ga,Aeradróm Weston,8230DB003893,
stops,stop_name,ga,Aeradróm Weston,8230DB003945,
stops,stop_name,ga,Aerfort Chiarraí,8390B350001,
stops,stop_name,ga,Aerfort Chorcaí,8380B225261,
stops,stop_name,ga,Aerfort Chorcaí,8380B2300601,
stops,stop_name,ga,Aerfort Iar Éireann,8490B553031,
stops,stop_name,ga,Aerfort Iar Éireann,8490B5530801,
stops,stop_name,ga,Aerfort na Sionainne,8360B3553301,
stops,stop_name,ga,Aerfort na Sionainne,8360B609521,
stops,stop_name,ga,Aerfort na Sionainne,8360B609581,
stops,stop_name,ga,Aerfort Zón 10,8240B1308801,
stops,stop_name,ga,Aerfort Zón 10,8240B1309001,
stops,stop_name,ga,Aerfort Zón 11,8240000548,
stops,stop_name,ga,Aerfort Zón 11,8240B111921,
stops,stop_name,ga,Aerfort Zón 11,8240DB008364,
stops,stop_name,ga,Aerfort Zón 12,8240B112001,
stops,stop_name,ga,Aerfort Zón 13,8240B111931,
stops,stop_name,ga,Aerfort Zón 13,8240B111941,
stops,stop_name,ga,Aerfort Zón 13,8240B112021,
