full_name,shapefile_name
min_travel_time_min,min_tt_min
nearest_destination,near_dest
need_percentile,need_pct
access_percentile,acc_pct
employment_quadrant,emp_quad
desert_severity_index,sev_idx
ed_deprivation_score,dep_score
ed_deprivation_category,dep_cat
nearest_hospital_min,hosp_min
nearest_school_min,sch_min
nearest_university_min,univ_min
hospital_quadrant,hosp_quad
school_quadrant,sch_quad
university_quadrant,univ_quad
n_desert_categories,n_desert
total_population,pop
COUNTY_ENGLISH,county
ED_ENGLISH,ed_name
no_car_rate,no_car_rt
T15_1_NC,hh_no_car
T15_1_TC,hh_total
