SA_PUB2022,ED_ENGLISH,COUNTY_ENGLISH,no_car_rate,min_travel_time_min,nearest_destination,desert_severity_index,ed_deprivation_category,ed_deprivation_score
267069001/05,DUN LAOGHAIRE-GLENAGEARY,DUN LAOGHAIRE/RATHDOWN,0.5630252100840336,43.30299238095242,IFSC___Docklands_min,0.8609419407226959,Affluent,15.37
268119009,PRIORSWOOD C,DUBLIN CITY,0.5930232558139535,42.504093333333344,Dublin_City_Centre_(CBD)_min,0.8601299228583029,Disadvantaged,-17.22
267076008,DUN LAOGHAIRE-SANDYCOVE,DUN LAOGHAIRE/RATHDOWN,0.5833333333333334,42.16538977886976,IFSC___Docklands_min,0.8514007308160779,Marginally Above Average,9.45
268071024/01,GRANGE A,DUBLIN CITY,0.4338624338624338,48.56627503267973,Dublin_City_Centre_(CBD)_min,0.8438895655704426,Marginally Above Average,3.18
267076007,DUN LAOGHAIRE-SANDYCOVE,DUN LAOGHAIRE/RATHDOWN,0.4880952380952381,41.87414977886978,IFSC___Docklands_min,0.8128298822574097,Marginally Above Average,9.45
268122002,PRIORSWOOD B,DUBLIN CITY,0.4074074074074074,45.736711666666665,Dublin_City_Centre_(CBD)_min,0.8103938286642306,Very Disadvantaged,-28.18
268122003,PRIORSWOOD B,DUBLIN CITY,0.3816793893129771,48.752850833333326,Dublin_City_Centre_(CBD)_min,0.8095818107998376,Very Disadvantaged,-28.18
268094014,KIMMAGE E,DUBLIN CITY,0.52,40.46294492753624,Tallaght_min,0.8051157125456759,Marginally Below Average,-2.43
267074007,DUN LAOGHAIRE-SALLYNOGGIN WEST,DUN LAOGHAIRE/RATHDOWN,0.4050632911392405,43.06700615384616,IFSC___Docklands_min,0.7825822168087698,Marginally Above Average,9.02
267073002,DUN LAOGHAIRE SALLYNOGGIN SOUTH,DUN LAOGHAIRE/RATHDOWN,0.4,43.17967999999999,Sandyford_Business_District_min,0.7813641900121803,Marginally Below Average,-2.12
268122001,PRIORSWOOD B,DUBLIN CITY,0.4,42.87149083333333,Dublin_City_Centre_(CBD)_min,0.7783191230207065,Very Disadvantaged,-28.18
267069001/04,DUN LAOGHAIRE-GLENAGEARY,DUN LAOGHAIRE/RATHDOWN,0.391025641025641,43.045765714285736,IFSC___Docklands_min,0.7729395046691027,Affluent,15.37
268094005,KIMMAGE E,DUBLIN CITY,0.5238095238095238,38.52388444444445,Tallaght_min,0.7719244823386114,Marginally Below Average,-2.43
267002045,BALBRIGGAN RURAL,FINGAL,0.3166666666666666,56.54487298245616,IFSC___Docklands_min,0.7663418595209095,Marginally Below Average,-0.17
268119008,PRIORSWOOD C,DUBLIN CITY,0.3893805309734513,41.88616666666666,Dublin_City_Centre_(CBD)_min,0.7565976451481932,Disadvantaged,-17.22
267003012,BALBRIGGAN URBAN,FINGAL,0.3970588235294117,41.51513714285714,IFSC___Docklands_min,0.7551766138855055,Marginally Below Average,-4.7
268071022/02,GRANGE A,DUBLIN CITY,0.4485294117647059,39.122115032679744,Dublin_City_Centre_(CBD)_min,0.750913520097442,Marginally Above Average,3.18
268119011,PRIORSWOOD C,DUBLIN CITY,0.3974358974358974,40.862875032679725,Dublin_City_Centre_(CBD)_min,0.7473609419407227,Disadvantaged,-17.22
267074006/04,DUN LAOGHAIRE-SALLYNOGGIN WEST,DUN LAOGHAIRE/RATHDOWN,0.3497267759562841,43.99957904761906,IFSC___Docklands_min,0.745229395046691,Marginally Above Average,9.02
268093001,KIMMAGE D,DUBLIN CITY,0.4845360824742268,37.99354181818181,Tallaght_min,0.7442143727161998,Marginally Above Average,1.69
268120005,PRIORSWOOD D,DUBLIN CITY,0.3853211009174312,41.15298969696971,Dublin_City_Centre_(CBD)_min,0.743605359317905,Disadvantaged,-17.65
268072013/05,GRANGE B,DUBLIN CITY,0.3518518518518518,43.14719428571428,Dublin_City_Centre_(CBD)_min,0.7367032074705643,Marginally Above Average,5.26
267003023,BALBRIGGAN URBAN,FINGAL,0.3095238095238095,51.12512631578949,IFSC___Docklands_min,0.7356881851400731,Marginally Below Average,-4.7
267072002,DUN LAOGHAIRE SALLYNOGGIN EAST,DUN LAOGHAIRE/RATHDOWN,0.3203125,46.98578666666666,Sandyford_Business_District_min,0.7312220868859115,Marginally Above Average,1.07
267072004,DUN LAOGHAIRE SALLYNOGGIN EAST,DUN LAOGHAIRE/RATHDOWN,0.3230769230769231,45.6450912820513,IFSC___Docklands_min,0.7247259439707674,Marginally Above Average,1.07
267074004,DUN LAOGHAIRE-SALLYNOGGIN WEST,DUN LAOGHAIRE/RATHDOWN,0.3278688524590163,44.64689948717948,IFSC___Docklands_min,0.7232034104750305,Marginally Above Average,9.02
267003017,BALBRIGGAN URBAN,FINGAL,0.3263157894736842,44.73084631578947,IFSC___Docklands_min,0.7216808769792935,Marginally Below Average,-4.7
267003019,BALBRIGGAN URBAN,FINGAL,0.3333333333333333,43.442684444444446,IFSC___Docklands_min,0.7197523345513601,Marginally Below Average,-4.7
267069001/06,DUN LAOGHAIRE-GLENAGEARY,DUN LAOGHAIRE/RATHDOWN,0.3491124260355029,42.000126192279225,IFSC___Docklands_min,0.7182298010556233,Affluent,15.37
267003022,BALBRIGGAN URBAN,FINGAL,0.3100775193798449,47.13703298245614,IFSC___Docklands_min,0.7168087697929354,Marginally Below Average,-4.7
